bref_id,season,team,g,mp,ws
abrinal01,2017,OKC,73,1135,2.2
abrinal01,2018,OKC,81,1244,2.4000000000000004
abrinal01,2019,OKC,31,588,0.6
achiupr01,2021,MIA,64,749,1.2
acyqu01,2013,TOR,29,342,1.1
acyqu01,2014,SAC,56,786,1.3
acyqu01,2014,TOR,7,61,0.2
acyqu01,2014,TOT,63,847,1.5
acyqu01,2015,NYK,68,1287,1.7
acyqu01,2016,SAC,59,876,2.5
acyqu01,2017,BRK,32,510,1.1
acyqu01,2017,DAL,6,48,-0.1
acyqu01,2017,TOT,38,558,0.9
acyqu01,2018,BRK,70,1359,1
acyqu01,2019,PHO,10,123,-0.1
adamsja01,2019,ATL,34,428,0.1
adamsja01,2020,POR,3,21,0
adamsja01,2021,MIL,7,18,-0.1
adamsjo01,2015,MEM,34,258,0.5
adamsjo01,2016,MEM,2,15,0
adamsst01,2014,OKC,99,1528,3.5999999999999996
adamsst01,2015,OKC,70,1771,4.1
adamsst01,2016,OKC,98,2567,8.6
adamsst01,2017,OKC,85,2546,6.9
adamsst01,2018,OKC,82,2687,10.399999999999999
adamsst01,2019,OKC,85,2828,9.4
adamsst01,2020,OKC,70,1890,7
adamsst01,2021,NOP,58,1605,4
adebaba01,2018,MIA,74,1445,4.1000000000000005
adebaba01,2019,MIA,82,1913,6.8
adebaba01,2020,MIA,91,3104,11.1
adebaba01,2021,MIA,68,2279,8.8
adelde01,2019,CLE,19,194,-0.2
adrieje01,2011,GSW,23,196,0.2
adrieje01,2012,HOU,8,63,0.1
adrieje01,2013,CHO,52,713,1
adrieje01,2014,CHO,25,256,0.9
adrieje01,2014,MIL,28,705,1.8
adrieje01,2014,TOT,53,961,2.7
adrieje01,2015,MIN,17,215,0.4
afflaar01,2010,DEN,88,2341,4.7
afflaar01,2011,DEN,72,2409,6.1000000000000005
afflaar01,2012,DEN,69,2315,5.5
afflaar01,2013,ORL,64,2307,2
afflaar01,2014,ORL,73,2552,5.3
afflaar01,2015,DEN,53,1750,1.8
afflaar01,2015,POR,28,812,0.6000000000000001
afflaar01,2015,TOT,78,2502,2.6
afflaar01,2016,NYK,71,2371,2.7
afflaar01,2017,SAC,61,1580,1.4
afflaar01,2018,ORL,53,682,0.1
agerma01,2011,MIN,4,29,0
ahearbl01,2012,UTA,7,38,-0.1
ajincal01,2010,CHO,6,30,0
ajincal01,2011,DAL,10,75,0.1
